"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"11","43","3730001000000411842307","05","01","+0.0111"
"11","53","3730001000000411854195","05","01","+0.0078"
"11","57","3730001000000411851965","05","01","-0.0100"
"10","11","3730001000000411730918","05","01","-0.0188"
"10","15","3730001000000411755331","05","01","-0.0177"
"2","42","3730001000000411742386","05","01","+0.0200"
"2","48","3730001000000411794002","05","01","-0.0289"
"2","50","3730001000000411793920","05","01","-0.0222"
"2","52","3730001000000411796914","05","01","+0.0455"
"11","24","3730001000000411823832","05","01","+0.0489"
"11","32","3730001000000411821388","05","01","+0.0333"
"11","36","3730001000000411766528","05","01","+0.0300"
"11","41","3730001000000411808518","05","01","+0.0244"
"17","41","3730001000000411802615","05","01","-0.0066"
"17","43","3730001000000411803254","05","01","+0.0433"
"17","50","3730001000000411850487","05","01","-0.0011"
"5","1","3730001000000411568191","05","01","+0.0189"
"5","7","3730001000000411577520","05","01","+0.0211"
"6","56","3730001000000411541347","05","01","-0.0111"
"1","17","3730001000000411514211","05","01","+0.0111"
"1","22","3730001000000411515720","05","01","+0.0044"
"1","33","3730001000000411513412","05","01","+0.0266"
"11","48","3730001000000411594008","05","01","+0.0411"
"11","60","3730001000000411601256","05","01","+0.0378"
"20","42","3730001000000411766153","05","01","+0.0300"
"20","50","3730001000000411766092","05","01","+0.1803"
"20","52","3730001000000411768898","05","01","+0.0178"
"16","38","3730001000000411729905","05","01","+0.0289"
"16","41","3730001000000411796983","05","01","+0.0589"
"16","47","3730001000000411835613","05","01","-0.0255"
"16","52","3730001000000411836252","05","01","0.0000"
"1","8","3730001000000411768980","05","01","+0.0333"
"1","9","3730001000000411767600","05","01","+0.0489"
"1","7","3730001000000411592523","05","01","+0.0277"
"1","9","3730001000000411588786","05","01","+0.0022"
"1","28","3730001000000411590109","05","01","+0.0578"
"1","35","3730001000000411601546","05","01","+0.0022"
"1","41","3730001000000411601942","05","01","+0.0166"
"7","45","3730001000000411588090","05","01","+0.0200"
"7","47","3730001000000411583583","05","01","+0.0144"
"7","54","3730001000000411586294","05","01","-0.0155"
"7","56","3730001000000411557416","05","01","+0.1190"
"17","22","3730001000000411831837","05","01","+0.0556"
"17","42","3730001000000411844103","05","01","+0.0100"
"17","47","3730001000000411830533","05","01","+0.0300"
"17","54","3730001000000411845025","05","01","+0.0111"
"17","55","3730001000000411844950","05","01","+0.0333"
"17","58","3730001000000411855499","05","01","-0.0211"
"17","60","3730001000000411843595","05","01","-0.0366"
"15","2","3730001000000411642716","05","01","+0.0078"
"15","6","3730001000000411641276","05","01","+0.1112"
"7","10","3730001000000411520724","05","01","-0.0089"
"18","27","3730001000000411544744","05","01","-0.0155"
"18","36","3730001000000411544720","05","01","+0.0344"
"18","45","3730001000000411544768","05","01","+0.0077"
"18","48","3730001000000411558932","05","01","+0.0611"
"18","51","3730001000000411584863","05","01","+0.0167"
"18","54","3730001000000411544874","05","01","+0.0011"
"16","27","3730001000000411713652","05","01","+0.0233"
"16","34","3730001000000411804879","05","01","+0.0177"
"16","52","3730001000000411572570","05","01","+0.0066"
"16","57","3730001000000411658199","05","01","+0.0011"
"16","59","3730001000000411657673","05","01","-0.0189"
"20","29","3730001000000411577537","05","01","-0.0044"
"20","34","3730001000000411575625","05","01","+0.0056"
"20","40","3730001000000411577469","05","01","-0.0300"
"20","46","3730001000000411567576","05","01","+0.0022"
"20","57","3730001000000411573058","05","01","-0.0255"
"20","58","3730001000000411568122","05","01","+0.0078"
"1","31","3730001000000411785321","05","01","-0.0066"
"1","40","3730001000000411740702","05","01","+0.0411"
"10","38","3730001000000411851170","05","01","+0.0155"
"10","39","3730001000000411844226","05","01","+0.0211"
"10","40","3730001000000411844318","05","01","+0.0166"
"10","47","3730001000000411861810","05","01","-0.0344"
"2","60","3730001000000411556716","05","01","+0.0066"
"18","2","3730001000000411535032","05","01","-0.0077"
"18","3","3730001000000411540036","05","01","+0.0244"
"7","4","3730001000000411567095","05","01","+0.0078"
"7","7","3730001000000411638016","05","01","+0.0078"
"7","14","3730001000000411638535","05","01","-0.0677"
"6","36","3730001000000411558727","05","01","+0.0311"
"6","40","3730001000000411561611","05","01","+0.0200"
"6","42","3730001000000411559731","05","01","+0.0211"
"18","7","3730001000000411514082","05","01","-0.0344"
"18","8","3730001000000411514631","05","01","+0.0055"
"18","11","3730001000000411598976","05","01","-0.0055"
"18","15","3730001000000411596231","05","01","+0.0478"
"18","22","3730001000000411514594","05","01","-0.0289"
"10","43","3730001000000411557546","05","01","-0.0599"
"10","44","3730001000000411559601","05","01","-0.0011"
"10","47","3730001000000411615437","05","01","+0.0167"
"10","48","3730001000000411610760","05","01","+0.0400"
"10","52","3730001000000411557065","05","01","+0.0244"
"18","41","3730001000000411596460","05","01","+0.0644"
"18","50","3730001000000411514129","05","01","-0.0055"
"18","54","3730001000000411596149","05","01","+0.0133"
"18","58","3730001000000411596880","05","01","-0.0011"
"18","60","3730001000000411596262","05","01","+0.0355"
"19","41","3730001000000411593995","05","01","+0.0055"
"8","13","3730001000000411561802","05","01","+0.0122"
"8","16","3730001000000411628345","05","01","+0.0289"
"8","43","3730001000000411628390","05","01","+0.0222"
"7","60","3730001000000411542405","05","01","-0.0066"
"9","2","3730001000000411544300","05","01","+0.0455"
"9","20","3730001000000411545222","05","01","+0.0411"
"9","21","3730001000000411544218","05","01","+0.0878"
"9","23","3730001000000411583453","05","01","+0.0211"
"9","26","3730001000000411557539","05","01","+0.0789"
"7","5","3730001000000411580322","05","01","-0.0288"
"1","1","3730001000000411589431","05","01","-0.0023"
"1","19","3730001000000411601584","05","01","+0.2395"
"1","26","3730001000000411601508","05","01","+0.0377"
"1","9","3730001000000411588410","05","01","+0.0022"
"1","20","3730001000000411587727","05","01","-0.0233"
"1","52","3730001000000411584306","05","01","-0.0022"
"1","55","3730001000000411587406","05","01","+0.1379"
"20","3","3730001000000411579050","05","01","+0.1390"
"20","11","3730001000000411580285","05","01","-0.0145"
"20","20","3730001000000411581701","05","01","+0.0045"
"20","21","3730001000000411582494","05","01","-0.0145"
"20","30","3730001000000411609528","05","01","-0.0145"
"20","34","3730001000000411580179","05","01","+0.0223"
"20","52","3730001000000411581176","05","01","-0.0011"
"20","56","3730001000000411579661","05","01","+0.0445"
"20","60","3730001000000411579043","05","01","+0.0256"
"2","7","3730001000000411723521","05","01","-0.0034"
"2","8","3730001000000411802035","05","01","-0.0200"
"2","20","3730001000000411751357","05","01","-0.0144"
"9","1","3730001000000411784300","05","01","+0.0355"
"9","10","3730001000000411782962","05","01","+0.0178"
"9","18","3730001000000411782320","05","01","+0.0456"
"9","22","3730001000000411784843","05","01","+0.0189"
"4","51","3730001000000411525637","05","01","+0.0077"
"4","54","3730001000000411621056","05","01","+0.1179"
"6","51","3730001000000411592493","05","01","+0.0178"
"6","53","3730001000000411591564","05","01","+0.0022"
"6","57","3730001000000411603168","05","01","-0.0111"
"6","60","3730001000000411589097","05","01","-0.0066"
"13","22","3730001000000411508432","05","01","+0.0055"
"13","30","3730001000000411649319","05","01","-0.0022"
"13","41","3730001000000411661304","05","01","+0.0033"
"13","42","3730001000000411660093","05","01","-0.0122"
"13","46","3730001000000411651251","05","01","+0.0044"
"14","4","3730001000000411565084","05","01","+0.1134"
"14","11","3730001000000411629779","05","01","+0.0678"
"14","13","3730001000000411608644","05","01","+0.0255"
"18","24","3730001000000411596422","05","01","+0.0144"
"18","38","3730001000000411514198","05","01","-0.0144"
"18","39","3730001000000411596514","05","01","+0.0066"
"17","1","3730001000000411558468","05","01","+0.0122"
"17","2","3730001000000411558918","05","01","+0.0422"
"17","17","3730001000000411544737","05","01","+0.0367"
"17","21","3730001000000411545314","05","01","+0.0311"
"13","5","3730001000000411735906","05","01","+0.0733"
"13","6","3730001000000411733230","05","01","+0.0100"
"20","1","3730001000000411785291","05","01","+0.0178"
"20","7","3730001000000411835538","05","01","+0.0122"
"20","12","3730001000000411782481","05","01","+0.0111"
"20","30","3730001000000411741679","05","01","+0.0400"
"1","44","3730001000000411578169","05","01","-0.0300"
"1","50","3730001000000411584344","05","01","-0.0300"
"19","12","3730001000000411718251","05","01","+0.0200"
"20","2","3730001000000411795405","05","01","-0.0022"
"20","9","3730001000000411792541","05","01","+0.0034"
"15","27","3730001000000411722593","05","01","0.0000"
"9","27","3730001000000411835811","05","01","+0.0422"
"9","31","3730001000000411835712","05","01","+0.0544"
"9","35","3730001000000411785963","05","01","+0.0089"
"9","37","3730001000000411805968","05","01","+0.0400"
"9","42","3730001000000411807207","05","01","+0.0156"
"9","48","3730001000000411839277","05","01","+0.0111"
"9","59","3730001000000411785239","05","01","+0.0611"
"2","44","3730001000000411751999","05","01","-0.0012"
"2","46","3730001000000411752071","05","01","+0.0045"
"6","25","3730001000000411627683","05","01","+0.0011"
"6","27","3730001000000411591182","05","01","+0.0233"
"6","29","3730001000000411603649","05","01","-0.0155"
"6","45","3730001000000411588748","05","01","+0.0022"
"15","17","3730001000000411520205","05","01","-0.0067"
"15","28","3730001000000411541750","05","01","+0.0211"
"15","37","3730001000000411615413","05","01","+0.0200"
"15","38","3730001000000411610739","05","01","+0.0377"
"4","30","3730001000000411609535","05","01","+0.0055"
"4","43","3730001000000411610029","05","01","-0.0277"
"4","44","3730001000000411610128","05","01","-0.0222"
"4","46","3730001000000411610036","05","01","-0.0078"
"4","52","3730001000000411561758","05","01","+0.0077"
"4","54","3730001000000411537708","05","01","+0.0311"
"8","56","3730001000000411714048","05","01","+0.0589"
"8","57","3730001000000411713591","05","01","+0.0656"
"20","33","3730001000000411741662","05","01","+0.0033"
